authority,amount,balance,pool,poolShare,dailyRewardsRate,farmer
3BKGkA8tZGqMf23j2kdwen4aa12Rm7cKGmKkpXAiW7Vd,110944.399342,16908176.091814,Token PaiY,18.1133713223,43750,C4ec1g26FNkKGtLp2Y77DjrNchVVYngDKfnmWPyByQEL
CuieVDEDtLo7FypA9SbLM9saXFdb1dsshEkyErMqkRQq,103729.137848,4977253.602729485,Token uSdK,16.9353694453,43750,2VcN91MYHkQau5vNCTJogeAA5SP6KtQg5SRVfh4d6Vs1
AR4kSBESbCXD4QvrvaR99szXDB7XMzo1WaYedbfScW9o,100063.667298,6892920.762184975,Token BUSD,16.3369252741,43750,DPtKeZ4ieiuJHfYWDCRzRVo3ZjDXAcsTk61KJv9E6pfu
5vpAWcj8bTHNdiAKxt6scWQThXBQwAmvbsSrjRX9nmEm,98390.805982,24979281.316774,Token PLYJ,16.0638050590,43750,4xhfYBEyiWYeWE4wXSJ2SAFuWyMpdvmAqksjTSU7m6oS
9qZ6DAZphSL9TWEXPsqynSGkAkctsdHzwveqSnBMsoJ,90221.86999,99809.894063284,Token stSj,14.7301012219,43750,HUDkjzETDTsofrP5JiJWnT9uXVqUQbCPQmBu9H4VsHp
CuieVDEDtLo7FypA9SbLM9saXFdb1dsshEkyErMqkRQq,88153.769158,134.745633973,Token HBTC,14.3924521081,43750,J94bohwtXLaTHGqydzSVxVZxtER4DL6ZURdhRS4kBjtc
41KuSvNyVpgWgSemXkTonpQkPRVu57p72DbCy5Bszzxq,86575.689354,384497.654276184,Token FTXd,14.1348064257,43750,2SoGEDBGAzgu8pDHmiSUUzHhm8SrWWwMDSjrFYAcJ5M1
3Y6GyjpcKVyR5aNsWeqDYxeN6ipQxRY3ifnAVfdJP5PY,84112.620788,266701.353727272,Token SoLE,6.8663363913,87500,FkWqBRnHV1bvv1RKWyXcmzhZzxvfkCbtcGQKgDW5A1pF
3ynAknG4bTC3pVgHD3mEbNcoydqATESx6MXgQSkwe1gX,81278.608992,12387042.892776,Token PaiY,13.2699769794,43750,6s2xChyaMz8GeH9CNLM9efiSaEonTeGRCQySsZxVc73o
hNMTSgasiZjoanUGpBrzkQN6XoecXR9YqMnj4gzUEGC,79604.28889,100.23,Token BREN,12.9966185932,43750,HQ8Xpv21JannLQYijLtVQe4TgFJ9tEozC6kfzRERhWbc
6pYtnDsqo5spsyYMx1mhNvEg4fgodAz52hp2LPZXkEVh,75652.279528,349.84025032,Token SLPb,4.1171308588,131250,A8bqBsxFgUbvzzQGHy8SsCUVsX5TPV2Rd5JHEmQGmreN
CuieVDEDtLo7FypA9SbLM9saXFdb1dsshEkyErMqkRQq,72478.59493,4992713.39255257,Token BUSD,11.8332399897,43750,5vPmzqsW57k3REZRyPHqjgV5btVSFqoXE5v93HDf1h5T
BgxRYLPJT9efomoBoQ6nwZ8faTqY7KVajFuFb8KXKchW,71796.288298,60560.651566523,Token PSop,11.7218429880,43750,FcETPSJ6ie9Qmrnpwk92krtSyv5kVLG8mriQnbh5tV4Z
8fajbXWqydnVHD2B6qzNWovWCBaFR6K6mYXqzKgGijiU,70890.173564,4883294.4304235,Token BUSD,11.5739058889,43750,6Kmwg19uztzVjiFX6DEbnrkXV6Lo2rPF35wLW9A4ESNK
CtPzkvd8tBA8PBnBoAMFNvDWDcA6o7Vut6MXQLW1aJno,70809.997244,8851500,Token UST3,2.3121631755,218750,8sKRGMFn7FPpfpZcKhAZHhbUUqRdLh3UYfsntLf5SUxH
6rLhedYyAzRwBYpxA9xD6nybK9vg4ZbZX3GsopUzzowS,69081.309542,319.45399098,Token SLPb,3.7595270499,131250,GFAJzWittZjjmVzHgjWMnVt9v8WtpQ43kn7eUEcYnpVV
CBdP3n46FhFAw86Xx111iHRXeSadDRxGJgCz2a3wCX39,68951.43458,25225049.101312,Token 2poo,2.8143442687,175000,A7jo2eDuZBrmkEB6BW7dtU2hr1WMEjUwAULrPJ87RxyZ
57W3MYpPJQpBWPRQ3RY1JBmy5a4hgHLbypBoupnqUct9,68357.829554,99836.570775484,Token PrsV,11.1604619691,43750,Dq1APUE5Q5a181Bn6SrYb1r181i2wUuDURCHqGK5Zvsq
4NSwNDowjPqxnzYfNkFL5G5TVXkMATpiDcs5aaGwD8gQ,68228.770764,99648.080477128,Token PrsV,11.1393911452,43750,BEFoVvt3ZeJRvuWiYQ4bti9zfNRCE3HzMS7JTzq6uoii
BpMAmqN43FawXQH5qDnzLzkdupRSETDTZbpGSm9UXKCE,65169.609106,99.613668,Token HBTC,10.6399361799,43750,AqLS6eptVU166QvkzNEi8phmyKTchVMQVyVBDeme4BaJ
7bpJ4yG65LdZmyggyV9vryVJhHDFAoay4gSmJQjcxaaW,64047.269692,866050.84062,Token SRMK,10.4566970932,43750,5wvzMRq7yCpctm9Ecvr4qKESQZgC29io46yg2pN7f4dH
3Ff1rqY8bxRhGxkCGxhfotK4nSb69SNCMFhTdvLKsacQ,63641.174436,7955371.803133971,Token UST3,2.0780791652,218750,6yBk97Fb5xLmnNfaDKaQVrQjyhHenZmYWpCvAxoa4mxo
FZBnFua2fi5TqzLoLiC9PPFyYCn3p4oDJnvhzi64bdi7,62554.590434,198345.905699669,Token SoLE,5.1064971787,87500,GhiUzXxKZkomkYfzhP25UFfzESE2PunNn4cdMGmb3My3
CuieVDEDtLo7FypA9SbLM9saXFdb1dsshEkyErMqkRQq,62248.702544,3994325.73147455,Token Daim,10.1630534776,43750,FYws1QjhrgEhTdRKrbDiU4tceVvdeKtouzxuwgvyqzRo
6XX3io7zo8yGqrkQ4o1zDmvdBuLq2JpNmqhm5bJFPELG,59167.997462,49908.603400323,Token PSop,9.6600812191,43750,4BG1RvPr3mi9KYyUoK32k4fKjGcHZAdusdMgpfpE298V
EzFPt1YtBzUaash9f4nYLU2qCj76eVsq48pXkGbbCCzT,58618.869722,5701612.73949763,Token HUSD,9.5704277099,43750,EFC5WGoJcZ4YK2rk6BZbGK5gecBmgP26MJEfS217ZD5Q
BuBRJEKKmRFLtVVVFv1cz8QewgwZiuyzfLRbdvLX3kgk,57150.562784,181211.00399338,Token SoLE,4.6653520645,87500,7m8U2dLyb1bktS314Lic5JgVyiCCJoFo3wCWP3DFgo7u
5uMc76GroTHGxzCwfcfDaXKmkUK1ZunwUbKyr8hZAh9B,56802.356702,71.520018485,Token BREN,9.2738541557,43750,DcFiqoKPxw9xas9Mf4wTX1wa9yhZVPmaDFTGacvk9FWE
