authority,amount,balance,pool,poolShare,dailyRewardsRate,farmer
3pmg83mULUs9r7pgUEhN8AdrwCEJdLsy8LaCpotbPyCz,323.502284,118349.399569,Token 2poo,0.0132041747,175000,2wfBHV77LAi1i9FZKWhVSg2NCkozsTQJCC2FL4Ze5WP4
GLgb8RYrwo55L9q2ieWmMzm3mjKhWpQRPzbpgDp2pbDK,323.446578,49293.986781,Token PaiY,0.0528076051,43750,B9EBQixep8XVnS3FXg8uwCNkkvqYMKLZjS267sfZAgqB
ALUJ1cjYq5gNWw14CAYiRXHMj8x6WaFzyH2rK6QPpPKU,323.028734,1.49378781,Token SLPb,0.0175797950,131250,8yNoMuNdraJdvUqZaYNKX7Kd5V97ibVdgy9nDKN53SNA
CBS4pp2V5utL5yKo9qPbufdu79QMC9bQnYAzSwsEtRU5,322.889714,118125.298012,Token 2poo,0.0131791718,175000,EZX4URfw41tzQiUXqDqtojEj5JJvZrw3E9kR5oMjJG1s
G5iPnAPPJUV71G13sGqJmYwa5PCjjbA4btXqGFCZxb3V,322.578102,1.49170394,Token SLPb,0.0175552708,131250,CnciDGWdYmRTgiM2VccYb2qvr2xsSbbkKDcyHFTT3cph
AT4Ucp2aTJUx3Q2GwmNoZd7DKvyBEPzEREHZVYvRofjC,322.446124,117963.017562,Token 2poo,0.0131610663,175000,VHsdnYpwTWVuHNzgf2hgiaYfHhL3xYvTE5i53RsitC9
Fva94ySFuXaiYTxJHrbL8buuigCM86j8o3YsQ2h4LCAr,322.33754,20683.501229778,Token Daim,0.0526265366,43750,Hr2n3NHGpAubWAugYh1yCpQNMYkz4Lm9npBj5qYQEke2
9Gfq6udsy2MMS5QhxqpR1eiDBoNxYJkjJU7UzU8nUE1s,322.258776,15463,Token uSdK,0.0526136779,43750,41gSiAZnDRgyTCf2DkMcmYRRXBGoFJtSv8wAXGCh2hyy
4oUQ3prVWNYrzgE7vdjHLWMqt96CY3D4YKhJro3kYzBv,321.69361,117687.719635,Token 2poo,0.0131303514,175000,6XCNJLXEV8dc1E7JPCRgZRy8NjkGLPWy7XZY4rBpsokK
8g6Fc3UFXMzm5DHM5u6a3V9BRVe4nogJHupUioo3vLR1,321.681836,117683.41211,Token 2poo,0.0131298708,175000,12ssQqdppWeUGRHjiJoR4M1BjTYhxvcAr1yaSQouHRke
FtViuFcth56Yc5o1sALYZDK1V9Webi8wiqnnbzHVuKpF,321.351856,40170.118364724,Token UST3,0.0104931219,218750,Cfm8R1DmDk1Y5TVGsUmsNCWTgfibx9J9D1PocJr5CNbf
4RAy98UEJxHYC9UXRLKZoYqGgWjL8SxBiNrAcAgJ9Xzj,321.247388,31246.39163533,Token HUSD,0.0524485520,43750,Bjef9JtvjZaRP2w7bdJjbouWfA8HPtx8cguwX2u59SAC
GJvPu7qiqhSXWV5EkDx4PCHpjhxMt1NDVqLvytY84Ve4,321.18429,40149.170933135,Token UST3,0.0104876501,218750,F1DQJvrjywgXLdYyQR5rTyhu21B47vtJWfSNPRWbevva
5WxUzFGQhUo3ZtbcQvurk893wNSnfp338CsR36Jwo4A5,320.97464,40122.964393112,Token UST3,0.0104808045,218750,5buSKHnPMEwtG8ffZLxaqB7j1uazXvmTb2aUkV6R95iy
2e8cdTQYZAzhSbk6TRVxT9iZaRH4AdHkMWdKhgBWA4zX,320.879832,1017.434529727,Token SoLE,0.0261942718,87500,Hyzuv9C8tCqsx4eUbhjD4mPwQrP6fS9xjFEYdZ1jRPuh
4957c7Rcv4uEsQMs8Ye3jDbcxm6zAMJzfaCGSaX4EJWi,320.617696,81914.359361,Token APUV,0.0523457471,43750,BJYmU7HDCDa59tEogkjMEDsMxym9hU1vZThffnzuWXZZ
D9LFyumMM4CAuBkh5tAQmQxFL4KwEWDK4VqgY7VCqqe3,320.121942,117112.74458,Token 2poo,0.0130662018,175000,EtV99tqPAuBqJ2XmoQXbKVvcnMuAUrhi2brYAuGUwF2D
4BYfosQnrjqntjqhKfnj2VDaxdsL1z9MRDsQLRXR2RDA,320.071374,4328.023377,Token SRMK,0.0522565505,43750,2UK3GnWuyx7hFbTFWKrEksAejbhtRkfTpb2fMN9UPmp9
3AJPHM8P5dNE57jTcBzJHbnYdZQFCdswajDS73nFKKr6,319.990944,40000,Token UST3,0.0104486841,218750,yH8SMiewMJGhyyCo8nB5YpRRtJQaBU8vo2mBYqcwgL5
62oQfaNARGpJu8GVWbgcDkfjr3Q8bLuio48wnGELBuV5,319.7418,39968.855403481,Token UST3,0.0104405486,218750,661J6ZxgJyUvPYuAU4x3Q9sQ4gML2Q6kLvN1D3wLd4jB
2FzYpS8Yi6DUbMUWuBuY1pretXKYJLNUdHNWMQznfT3M,319.172406,39897.679888028,Token UST3,0.0104219563,218750,GUCZtkZgM3wS8BWNXPDj4EJEAYKwHRCZRwNCBqcZGB1F
DeUneQyLQko76QseVJwFQVi84FvtJYfFwcfXNLFdAoGT,318.834642,21465.44888781,Token MAiP,0.0520546350,43750,5iykPAFDoWZd8c4fsZeep9eVAqPmmJWgMDFjRgupFBPq
4kXYQPwYbzQN1ePZyweiEaUHdbTVwfpJfhm7i3gVQiJ4,318.765286,48580.547009,Token PaiY,0.0520433122,43750,2rCy1CzuVopjHQPqG3E5vAXC9e9tZ6jVF6LbAPd5qTwE
Fgjr4NNEwWuwiUptzP7Dn5FoEvEwtzzhoRtCLfcVWnb3,318.706542,39839.443810596,Token UST3,0.0104067440,218750,3doHyhFoCn7xDurqNHGn2DCeocekMhggPZZQ4Td7cyED
CK9fa4kwzd9iLssd6rwpHYxVBqggrD2D8Sw19hUbvUBa,318.62299,39829,Token UST3,0.0104040159,218750,5PLRpHbFm77msUX2ZjJnDGAKeykxbtws29JTHB7XVjyv
6RTWm9LVibrZX1W1LrjE8zpodKHjsjF2nWxAd2kGyZTR,318.55922,39821.028555032,Token UST3,0.0104019337,218750,3wAHHXV2uNHWfrsmCzNmonaMSmvVUV1vE1jNkfGEY1Ji
8ZyubveEWyuDwUKeasfT28jRySfazsgPisjVmSquvo4d,318.127754,39767.094040004,Token UST3,0.0103878450,218750,4YSmEBqy8eRqfJERLsTQG6winNzbTXA8Shmk3nmissKo
5vvvRASEKTScee3F7RnYWkjiW3ZTyYrgnRk7tv5TTSjE,317.959712,0.400344023,Token BREN,0.0519117886,43750,ZmKW9W5xSjgNG9XA8W91BX8x3JzpRTgFVan2RGStTSB
FywyRPRxcNAJYTKBoJYnCxkWsSz5QyigYkqwrP5KLn9a,317.91781,1.47015327,Token SLPb,0.0173016495,131250,GJg1RwWgQw37uS6QwPqG3QucMUDLVcjZb4cofF1K6AC
DBBxU1Dq3Hqaz1dmP4KFrVjXsTFnSwVkwrnwRtHgxGYr,317.594732,1007.018238999,Token SoLE,0.0259261001,87500,HpuUR2fVmrYJ8dr8jDf3QKtmh9Z5SG14dGd5sY1n5Gsu
RuPxjUM9DUVxXwZ98Sg4PaM9GLqHuPnteUJ7jXoUtKZ,316.982526,0.399113656,Token BREN,0.0517522494,43750,DdQc5comQEMvgXn8SVngBCak85e4PLSMvPcg5e3Z5CYY
CzZwfnAybzm71xcSg22hBry1V6m21hWCoTtHgXm9HnGo,316.801954,39601.36490078,Token UST3,0.0103445538,218750,564yzKGbu4SJ9iNq65VQmfd3pqeXhn3i2K7YtuGrxVLx
ACT7m3nZc5S1R9YerFpChYDn8jPSjtYmYKvrCzYn7QRx,316.79648,1004.487195058,Token SoLE,0.0258609373,87500,2dC7zDw8AGfgDhJWs7M9LMHVzMWNctDHzkUAsVJoWaLA
5iixZVDkX9zPcEgZas5GcbLTvLmKdkypGGvZDRx2mH5B,316.637972,39580.86546864,Token UST3,0.0103391990,218750,2JHnfeFdnkdgwVnieQZfUfJkRW6HfxpsfaNnJiAJR7LX
8WYFtEV2Aa47EjHQupc7XAY4fkVcwrNUKLRiZq6iVRsr,316.490566,39562.440421732,Token UST3,0.0103343860,218750,RL5ENrCmXz46mygNcBk6F2famNZN5wBsJ1KKZzZJJiQ
8RX7ix3nVDq9bjjNqe9p484RQ4tmChQaz3qJUFso3gZ6,316.485526,39561.8096,Token UST3,0.0103342212,218750,8eMKpCbyL33Socbh6anDXqKmYynVSM1mSgotBdkYHZBG
8zRmDETxURTQ61bihfcA2tbTLSRB8kSuLenxxtQnvjBg,316.26833,39534.659628612,Token UST3,0.0103271292,218750,AuCErrbDstMjFxUUm1CMHyhUEMNdhCJtT1g6MEEMnUnN
Hqdca9ADo4hSu6e5fL8stgiCJR4Y6jhWBhhNQpo71ihq,315.93184,39492.596793218,Token UST3,0.0103161417,218750,55ZMqzqDXwiMbuaVfGrkjzg15KzmVNaVayJGvtvoiBur
3arJuDmQkz6B9WHahyMiovCGjawjwtGE7qUF9poHoPcR,315.381304,1000,Token SoLE,0.0257454126,87500,DcyBHXXeM5Fr2z9QoKFVU4m3BN6W7nHVQnJ4yGxiz5V3
3c13CEbD4haHbFUwAXZ4pfF285XKcfdBC8BcF9RvPx2j,315.381304,1000,Token SoLE,0.0257454126,87500,3sv5jjkPSbSSzum8Nq2bMpGgvmKzjFbKeKtzr59nxBHX
iK3i1c8Gdsrq32J1wv4PRqyrZcqRULg6LV5TKjqmkvF,315.129766,21216.018903939,Token MAiP,0.0514497566,43750,4t1p5Bti96D5LYYw6wWVWVAyWzcxquS42HYhYMxiTtZS
FWP497E5orLnC6Ut75cpFuVukT3B644GYtZ8waDU6PWT,315.122052,999.177959045,Token SoLE,0.0257242488,87500,2vReVtWzEYyNTSYDwbsBB4ADDVtM2WN2vJsb5NHafNvK
38ptS87grfYExnGbRZC5oCfqRjuQZL1WjAfB3xPJkrFd,315.030534,21209.338313081,Token MAiP,0.0514335559,43750,6tmxpfKmEtkygBrkojXEAcikZoBBLeY8mwUtjTSvpssC
5TzdA5zBks9b6AN8bvEtRrpfwpZE7EnDodKNcnSDLPvB,315.020692,20214,Token Daim,0.0514319504,43750,E6DYkZ3ZQ5oDmmE3FTjWi1evbzeh3ZVmak4R2RJjMuPr
43vk3zJWgXSVjNSi7USJmLT97fTykcczuHd9vFcXpsVQ,314.922594,39366.437886684,Token UST3,0.0102831868,218750,78C1zJ9BieoapenCneFeBp5p5AZ8KwCfCgnEFzu2v3qD
2c77UF5Y4yLP7EfaNViiD1pvFiX8fnz12fJ3v49noou4,314.851628,0.48126,Token HBTC,0.0514043483,43750,2sHhLD56yUJ7U7oYgaWw4CCen5rKLiABGRFfz96fVkva
2cT7jDWDCbTHpKk4kkmANumzDYZL25uGHH3AMPxwhRMV,314.781768,998.099001707,Token SoLE,0.0256964706,87500,44ELmKj7XAj3CEHF5zLqsru9KMb3VehbMgFnopdLDCX7
EBdmK9gsRSPbwe4E2eYymVXLK1BJmobKyud7trXEvrcf,314.759228,1.45554699,Token SLPb,0.0171297540,131250,FCwDQUQJVHzLqS2y82SMaSUfuawP4mxiYJa5CF74ftci
4W8sHTwCHwK1faPa6Y8iGVZPRAaRJn6EkFcAtZB6vgfy,314.75577,20197,Token Daim,0.0513886961,43750,CrVAj6i5zboPVaCUx3ArZcBYRvToYfDL6eYx7J8jeXAP
3f9LQE5sYqGPCoPUxUTQm9UE6NP84bUqveKFUbFPatcB,314.751122,998.001831753,Token SoLE,0.0256939689,87500,5eusXEe1aTTHC1bNjjegdvTvYCbbxt6xWYUuepBr8K1k
CaJ1h78EUbajCVvbG8Bhq99AR2jF3i7p2GXRKxsUWsG,314.668592,997.740172602,Token SoLE,0.0256872324,87500,3KYsSiBmZNkiuU7SybyiJpTszQ6H5yYipUE62J8pE3R3
5mWXFn8WP5757GvqbAd2P4LygWapb6GaAUpZSLsrZU5n,314.610604,997.55631148,Token SoLE,0.0256824988,87500,BivViNRqsP3x3NEa4qLoxAWrx3DCSQNL66oH8veweuym
7wrscxxh4XTvDYxgqUk2s5etGxNggi5jaP4C384dRWod,314.533646,997.312263287,Token SoLE,0.0256762157,87500,AnXiemHrMv3v85FDetPQ26TvHjbXp7vJ9Kar9P96xENs
4koTCJ11ZQei6V3but8QZzNj2oNvLs7PGEAU7ST31RWk,314.261192,996.448394957,Token SoLE,0.0256539751,87500,CAtU7H7FM41nqDyDPwjKorohU5jeMggiu4K8zWjpof3d
FBdKvJe7zNszDnMGffTwUhJ1iroYhqwd1kxAcoZiaYz2,313.829292,995.078955046,Token SoLE,0.0256187183,87500,DvPPCmJpWcaskSKjZvLtrDWVzdf3VHgWnE3BA53qhvsZ
EG37Dip9fb5v8N391yh4p2cBaQaW6LBg7XmjswQNEE95,313.662734,994.550797789,Token SoLE,0.0256051206,87500,5U51TqYkE7Pa38bk8TCBw7ZC5uJRNjZcnfeyUbuYnt8m
97BvYWZbo9V6h9weQ7a8CGaFW6wvJ7BRRNMa4yUonfA3,313.612712,994.392212193,Token SoLE,0.0256010378,87500,BwNUDT4MUttX3gtZRMani4AoSwNH9PtvuhyeaMZxTbxZ
2MRKrbXdrD2uDpjtv3jomupsX7okTyURcrxnkBva9kf2,313.568136,114715.110798,Token 2poo,0.0127986992,175000,2FgY5ypk7Vq1QXQvUX9J5ZmJRkteAewitP4GYPZnfz3S
2FzaxB3dqDtRbiN9d1oBXo2sg3tMGzaoyyJdpdYZQ6H3,313.53056,457.911200611,Token PrsV,0.0511886626,43750,Gtqgfhtax2NJrhopuQVdHFGCf23fQMWteNnYyXdyoofC
JCshwBa8rSTh2rGdEsZvjA9pzihw9FUB7pnc5i4aBTnr,313.248838,993.238439316,Token SoLE,0.0255713334,87500,9BqnfpALDorYZRSto9ivwbZMCEauNu793Ks9Paxvy5ur
AfbmPzra2yCfJDChzbqsuwam1TKkEoin4rhKmJ8txJ74,313.043094,30448.3946,Token HUSD,0.0511090761,43750,3Liqc8ZjjPKntwN2YjVLSmuSe735dhvN1znGM2dHjgQo
DC8hhcKR6RoVtuz2RRZczgsRyjjVbPqgvGqzsV6Grje7,312.795406,114432.418121,Token 2poo,0.0127671593,175000,CpLyLNNoQeqS49Nd3pg6UdtUmwUNb291LyCV8G7f2a6t
6xAwMG1p6USfkZ873837a2ZUGnkd95MwuZ61nHnxPSYi,312.769492,991.718551812,Token SoLE,0.0255322033,87500,G3JNSeEA3xDkpSnq7JkG2Th7aNCiXy66qRH48wDk9kLu
BTWB3mQC9j1gnCSDTgJyo4Bxq6bWSFaym63CPjgQSRJk,312.626412,15000.808210688,Token uSdK,0.0510410458,43750,Bh3R7HhmXsG8XHHfDZGqozGazyJvR17gSvzAEQ5MxaKX
DvjSL28kFib96bEP2LpGd2LGEChducbZBk1449PqBr7M,312.59886,263.679237219,Token PSop,0.0510365483,43750,2W86L98tUKSh6AwHHLTojDnLrVLTAeyUyuybaHGUj2QV
2HuKKD1Uo1Vsc3BN9a2KXm47xVvnMACEzAuQncwg5rUQ,312.452812,114307.08747,Token 2poo,0.0127531762,175000,6uUYDazSbWLS422nhXmUFfYLFJM4TFm3w3g2CmVswh8t
wcj9bpqffMLbfPUdrQ9h6qSy3HpX8gW9Tp1f2qkhgWm,312.111814,39015.079551124,Token UST3,0.0101914060,218750,146SKfsg8RamPrYcehnjkGqTjLCcr1PfbrRxtXHNprPq
FvJmaNXQc2YksdptSSk1SJjw2bciySubvC6grHpwVj7,312.050578,717.724930622,Token LUNk,0.0509470329,43750,3zQdSRi8E3cTevugp1dUpn7UkWqSjHL4Lpm4TVRjkAfi
8DbqvA55eHjxHDPeDmp9w4frGgZs7CbzgjWN8hdxNJmx,311.723328,0.64637233,Token pBTC,0.0508936042,43750,7pJFB1mj9FHmc3gnw7dz85cEzYYVw2gcaLnH65CvSr4P
A4g6GWwPUpkiXJCm5nHGUakiBkbK3MEtDe6XugDWR4Jr,311.510066,14947.242785681,Token uSdK,0.0508587866,43750,5GDdRytojhgbrBsBmyhw71mC7PRkfykTnHQrMFnRptcU
J2KbyX3GRsT2ibjeYABoLSJFWohEJuxUsxYmGDmCUHWn,311.354148,14939.761498278,Token uSdK,0.0508333311,43750,8VxvQz1ZzRHkb5x6Vo4jZkcAYi5LrTJafjNWcmUnFA9
CqkE1z3Q13TdTFiwcWArMnrYZkmBvX6PSSqGEMdC4Fp3,311.1003,19962.439066698,Token Daim,0.0507918856,43750,7atGWnEcL9FBkdTqc7t4K6EjeEDeAe3Zd3xCQRHc9J97
3ZRTjs5d4N6MUWcLrnwTYJ5572AfWaZ6gdDrCVTqRpsj,311.040352,19958.592579044,Token Daim,0.0507820987,43750,F5juiNXr7kLsepJaFSkrqJubGW6HPk13p3pUTjueHB4G
9DWSC5Rhm2BQ8WRQedkNqCzpZRHeybd8LPNk4h97LUdj,311.02974,19957.911658135,Token Daim,0.0507803662,43750,EmSEYe465VieS692PFJHYbkK5pMaA6CWfskg6TFBu9YH
3V1CeoiLdbZ2ohRw9Axu5ePxVbAThg81A9vHuBor5KFE,311.028522,19957.832899126,Token Daim,0.0507801658,43750,3vihRQqH3kXpbeMni3ci9H6KkXY7vY6hcq6vcsNF59cA
6Kou5H9qvxiLnFgJ4xhWhHYEVMZVfv9LyGvk4VDoZHXV,311.006066,14923.059166779,Token uSdK,0.0507765005,43750,4h97dMUHaiMtPws4jrtapYqTaWyo7YKjLfeBuabQRqGe
F6xGbdxofrimvfgDVMh4wtss7ViUrRVzrE46SdeysA5T,310.986396,715.277295096,Token LUNk,0.0507732898,43750,5wY8LXsfkPRHtvoQHmevL56tvKTmoMAP4dn6NtGPQrsi
HPpnHk3Syxf3sKWmfyP3UdgskKjk53P38yWbeEjztCaS,310.985248,986.061152353,Token SoLE,0.0253865512,87500,B6cjgBHu1Cj9PcYZUQk9RMXLzZpBPBw97TnVMadQgToq
BxzEHssDkRTHFo5L2VkAnirW86jyzGHR3TuLH85LPh1V,310.975098,38872.985944283,Token UST3,0.0101542887,218750,3ouDUd8Jjsk3JRGnqUzcfiMqfCYtvGQMx7YLGhFEKWoe
66FEjTVVgGrEUsKsPcpcWbmy8YxcLpuD6t9FhSLyZ8Rq,310.81995,343.851282831,Token stSj,0.0507461134,43750,2FZUcPUKYq5TPBhBQtUhPQvSzTCaJEcEfAZJGA3knoAn
9FuCCUscxsywBEs3Ync846NggsShi6Hc71ZLTxQRwWmz,310.778384,14912.133986911,Token uSdK,0.0507393270,43750,GkJBYs4g2zioH1J1bosXaaxgDmS3TigSvD3JhTyfJS2A
915YFsdetjtKzuFihzteLEf55yGY2SNGM8ApGFwzBi4L,310.511698,38815.059880463,Token UST3,0.0101391574,218750,476ZZcrFLjryRD9FbxigsxtyK2bqnfwhGNFgQaQJaYuz
H33BBq2ooaB27wFBXWxcBrhwyExnrW3KZta1Qvky7AB4,309.760332,20854.524124943,Token MAiP,0.0505731162,43750,FHQMorq9kyPLv3vUhWHofsTpxF1NLrT3Czt44YskjCJL
Ediom8QbEraNAXMxR16i72S8bPMPPWMQ4jodetYokNzB,309.561504,712,Token LUNk,0.0505406541,43750,41HX3NRizrNBqJhHcSu6hNxFxUkAp3rF73bRG23ciMQE
8w4WxnF9XnydVPexPegbEjqv3G3fxQLrv53uarEoeTHg,309.44781,981.186293734,Token SoLE,0.0252610460,87500,2dFZc1oyb4bHPZVfYxQA4aAyUWmpukMUocUupKXwS5iW
HFMdFSQeSFguuRn5WUgEG1BcqwmD2cWBdGaHGTmTikHN,309.238412,1.43001696,Token SLPb,0.0168293012,131250,FaDN5CXaZnACZx8reGF2bpssn5ssqovW9o5kmbnmeEFe
4eAzQW9bKxhxx4VAFhDdjWiikhoPX45btbUGCmH4Cp4J,309.129436,260.752750854,Token PSop,0.0504701110,43750,5kZDz4iFi2medZQ5TrM4SB12a3C7NQZ8SxCsfR9ekurj
23KDpE74HxPT6Nyq9SQHcXbDdDcXGRq68cLb6SSe5Hbg,309.03733,113057.570565,Token 2poo,0.0126137683,175000,9y9dTquegfJjUhTZx4iGM2v4xPjrgrhZonGgmUrMBptn
aAbLf4X9hWY1konjznQRNK4xUnmr2E5yHwL1JUmLMtE,309.033746,979.873374124,Token SoLE,0.0252272443,87500,3EkQ8jsSUm1F95DyMcBrK2X7qRqAJUUp2DbrMhhdRRk9
Hs9mbaLWs7NFbEzMTdTXSrsYmDJZvocyoF81cCJFDaw9,308.841834,0.388863685,Token BREN,0.0504231567,43750,395hAy3mSzMXtaMQkBnhdTuFPkezef5tR6LwRBSZ9Jfa
AabUASrqJvdZfPB8f7xXJyJ9PchmZZGpWj5rUrh2n45F,308.196028,4167.444258,Token SRMK,0.0503177183,43750,7NDXbRaFCow68i5fLgJ2un9oeWXPv3SNwXr1waz5t5Ag
4Fd7f5pVo612k5XdMa8cqvurk2ZYSx1eB2DFqSGiM8P5,307.909616,112645.011703,Token 2poo,0.0125677394,175000,3YDFNNZ2sTkRqkhWrNjkKWQ7vmycpTs9QT4b68LAMqkh
DwciCueakuvurdfkkNgvYyLPZ8oZgRDU4UxKR9AFp8MU,307.734266,38467.870817379,Token UST3,0.0100484657,218750,9zCgqt8A5BcUVYpV4GH9Hvt258ptaJTAsNyY3ppsomEw
4FaGuHDkwAKwCUARUSo1VfPGPxLx6AGVLwbRPUdQeDyC,307.552182,975.175707329,Token SoLE,0.0251063009,87500,A5qiseg4i8Ndt7p3tWNFp3XXRJ5HhySDr59sfyqXDpiT
3kkGVJYjd87W2DzRynRS9oDWhy4P6csEGeXMtbpRf6gD,307.224792,20683.81962579,Token MAiP,0.0501591505,43750,7cW9ynvtp9yjKHJch8KBPjRqraPUWo3iE6ZGhZmq5Kb3
EAMEtLpAV3Dn7kMbsULCoANC5trRmapmJZcPHFc1A8CG,306.752726,339.351834453,Token stSj,0.0500820777,43750,CUqg9wvFWqazjhWEV8hD8dggbj6iqsURQ1ARCfC9Xb6D
Dp1ru7aq4D8vTN5GJjk9BuDXquvohR9w6tmyeMEKdJKG,306.57382,972.073540641,Token SoLE,0.0250264344,87500,1dARTKfBzWCCja9Tvo3SgB7W5eewbNsnGMyBdViTjXK
F2JMK34uN6cYZSqjAGAkG5ae7hUHkJRoyWejmYckgzSx,306.16341,970.772235989,Token SoLE,0.0249929318,87500,HDJhT5cSiSReFSpefGUbGVKe2mGgJ2nNZDtctN8DGSbD
14k5QDC4esMXLzQRzZFsbreoFWMpZK5cajAzdwAf7LVb,306.05883,111967.926766,Token 2poo,0.0124921974,175000,G7aaBhk2xk2n5zdQ2Vc2zAwuDa22cXC5wmyEoSjXrQCV
4ALDHs2F96aDy3xjwy2rgr42Q7vqKWiAQepWM7jADjLy,305.776478,38223.140012508,Token UST3,0.0099845379,218750,4Th8DSKLmdNa5hG9e4qLgWz5bkn8E655X4gFQqmWRQQz
5op9hdKJpijyvhHm76vTgTeFTTd8K1iuRYBj38BeS91U,305.694032,111834.46855,Token 2poo,0.0124773076,175000,J2vXHi4p4XTpqsCJGbr7RYF8X2SsMaUB73iTpj72CNvj
CpZvUmhVnapRYdz8sgYKjc8wPkNV3SfdP788bHZeswJX,304.911936,38115.069312266,Token UST3,0.0099563079,218750,5KnWCjxp7DPC9VhD7qUT3q8kVbSramVKMCHq6NEvstmx
95XjcbpLXBFfutDDRFd8F3invZ5oThSSpbR2i8Fw5NKH,304.534832,700.43849782,Token LUNk,0.0497199716,43750,2q5LFCqTf1obWSVpi3iTL4fjHKJtsG1L7dh3YCTDeivb
HcKj1s7HjLgm8XpybBNqrkNmiNfBxKrSBbjmnBEsXTfF,303.83325,20455.484382495,Token MAiP,0.0496054277,43750,5gexiZiqzrGW3hz3BtPvR4kR8wJqZsE5YMv4NY6sDsUF
9DDXnDxuRwHV1Fyt5AEhdNZBQpvnTWWLFGPhcVtXCkF6,303.565626,4104.831716,Token SRMK,0.0495617346,43750,8iUvt2WukYY239dUYUuJXaZkSirL5FB2e54YNmPCZAxf
3C93KBhQnpD2TTTxTXfATwynHXxJidVmCn58tuXxe955,303.47422,0.382105312,Token BREN,0.0495468124,43750,J31FgkbW17D6MWxrpST9qWrvD1k4ponRcmBU95iMULjD
Hte3oUhCThYgqu2MaRRFbQ5eAGQsPQdVuCDq95S7K8sj,303.097676,110884.619682,Token 2poo,0.0123713335,175000,8ta1pVTKPfZs1XQfepmJZuMB4cpYgkPxxv1m8YZ5J7it
6YGFWQxdzHxVWBR76KFKEJ5Jsd2wpy5Vbjy1qodV61CP,302.672468,37835.12783347,Token UST3,0.0098831824,218750,7w84GvCGmQHChQ8vrkQpLodcz1wZgyR3TQmsAzoEpti5
25UpMADtLrxkQSZfuiBiBo685YRq1pReyQhZym85VYu1,302.508472,1.39889555,Token SLPb,0.0164630457,131250,6FyVGY4VmrMtBY8K2UGi951aQAGsdJPu3A8a52h7veQq
Y49mhwZtFV1k4Muenpd4EEkFRF4ep61KynSkkQKSzmg,302.42737,1343.132400305,Token FTXd,0.0493758968,43750,FpVVuiUzZVwVRTZBgxcFTFXNn5bALTxb9rrf3DPChcD1
F9X1dzTbM5ihwZGjU5has7XTA8KoucjArx1atrKx7ny4,302.40119,37801.217827639,Token UST3,0.0098743246,218750,3gjUyPFzjH7UcZZzC1jfhcr2A3frR1xuAeW1RUENWKxf
2yx8Nqv55ntnAauPn81crRrTKQoWTmgPoRYfUUQYa3eZ,302.193038,110553.673382,Token 2poo,0.0123344100,175000,GEBXPTx9RBHLzZ9jnLW2LjRfoa2TVbtZZ6DmvK1tr57H
AEwNqtfnK79hTtivfgL4udngWum42m9FhWQM9KCEYR1Q,301.779646,37723.523164443,Token UST3,0.0098540294,218750,E3cxnWA3ggTbMmXhD2byPcYxE29Z4ePJgdWwib8jKMei
3JUMGLxmqkKx8rcGbWzcN42ZCQT2xJoYQyzGgcuZdXeE,301.564228,1.39452907,Token SLPb,0.0164116584,131250,BG6BcjrfKwwXDYZfRPkHK2YEhLAcLQG7oEX7SzC3t3wp
Hg2gEDkjtRi5ia2fSEtcLo8mn3EkLT9VnCS65BY6v9bY,301.54733,110317.447011,Token 2poo,0.0123080543,175000,82aEhqvVLshzhEHuS3Px42927xWigMFs7YWXx1hDTn7N
8HaDkdbrKnrZuwW9FFTUby8MxB5GU4z48hWNeGru7gYJ,301.322644,4074.502093,Token SRMK,0.0491955347,43750,3FHu5gvxxnuMG2pD4DE5Rmt5iUEqSq9xChmpN8MsojW4
EpcugPz5bKP9emPs54dqVDLixXFkCUv54sz1CEnmWvKF,301.098238,37638.344966918,Token UST3,0.0098317794,218750,8NGQoY3D8dFz1wZ6AEzsbFRKGr2UoRNmVzGgGRpnkCej
7H6z5pAMNBzwDNaw6xRm8WeAZpZHvmHmTJSHgocFxTnQ,300.539176,1334.746637654,Token FTXd,0.0490676215,43750,CmqX9DD7mPg5bHtJpfG3bukahcbL9M3osxHWdG5SFjyV
GPNa2wjj198BfSUWGDHBDUsJV2UNQ98QbCRqnQmaeuUC,300.49614,19282,Token Daim,0.0490605950,43750,9SEzWSRZYYZ2He3tFys948TMMz5sXSfREoStPf1jxcPV
5k9jSYqcfUdiLrZSvoZc68ah2mjjzFh3WCpADQqQJPhU,300.392666,438.72332362,Token PrsV,0.0490437014,43750,EYvw2KajtV3G4a3hqmUJcyTU2LVT3iWxTvwaMpU5fpi6
79xdipUd3btDKScSWbwDeKhqm6gDz6SEPvEw1S1iYxvF,300.387234,76261.772,Token PLYJ,0.0490428137,43750,AxN8GotPAb6wQkQhvN47aa5DhTpHdkhmyCcvPoSFpXPz
F29zWBxuETF22gbHcN5f3Snvw4yEdrxEJK15Gwy3rd18,300.236832,37530.664846821,Token UST3,0.0098036515,218750,ZwMjFS3sHQLUcqVvshwYMcqqLjc9eFd4kvcqJKDRtYx
98FhZEbnd5epFtbD7bXNUcbANHZrFRMNP2GLS5kszN4,300.16238,45745.42128,Token PaiY,0.0490061020,43750,3ana1bpCdPLczeVuvN7MXgSMWtg7xMpkHEJcQbSBGkhb
